epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,98.1215,0.39599,0.34311,0.85754,1,0.99954,0.995,0.94317,0.32983,0.23379,0.81516,0.000643795,0.000643795,0.000643795
64,99.7732,0.3778,0.31497,0.84978,0.99976,1,0.995,0.94435,0.31701,0.23422,0.81362,0.000627292,0.000627292,0.000627292
65,101.448,0.37395,0.30633,0.84661,0.99954,1,0.995,0.93948,0.34565,0.23322,0.81763,0.000610789,0.000610789,0.000610789
66,103.002,0.40051,0.32405,0.84884,0.99954,1,0.995,0.94767,0.32071,0.22802,0.81532,0.000594286,0.000594286,0.000594286
67,104.584,0.37626,0.3128,0.84771,0.99961,1,0.995,0.9419,0.34004,0.22884,0.8178,0.000577782,0.000577782,0.000577782
68,106.2,0.36165,0.30817,0.84879,0.99967,1,0.995,0.94759,0.31772,0.22237,0.81299,0.000561279,0.000561279,0.000561279
69,107.77,0.37085,0.30678,0.84588,1,0.99969,0.995,0.94579,0.33324,0.22445,0.81481,0.000544776,0.000544776,0.000544776
70,109.468,0.35712,0.30136,0.83096,0.9976,1,0.995,0.93877,0.33109,0.22324,0.81703,0.000528272,0.000528272,0.000528272
71,111.129,0.3588,0.29751,0.85225,0.99932,1,0.995,0.94377,0.32261,0.2244,0.81351,0.000511769,0.000511769,0.000511769
72,112.75,0.36692,0.30967,0.85149,0.99936,1,0.995,0.94182,0.32639,0.22499,0.81311,0.000495266,0.000495266,0.000495266
73,114.406,0.36452,0.30688,0.85162,0.99711,1,0.995,0.95069,0.30769,0.22244,0.81093,0.000478762,0.000478762,0.000478762
74,116.069,0.35693,0.29526,0.84234,0.9985,1,0.995,0.93658,0.34577,0.22792,0.82004,0.000462259,0.000462259,0.000462259
75,117.714,0.35053,0.28812,0.8448,0.99753,1,0.995,0.95221,0.30195,0.2158,0.80973,0.000445756,0.000445756,0.000445756
76,119.4,0.35821,0.29268,0.83569,0.99565,1,0.995,0.95285,0.30936,0.21613,0.81127,0.000429253,0.000429253,0.000429253
77,121.069,0.34859,0.27985,0.83651,0.99514,1,0.995,0.9561,0.29663,0.21253,0.80879,0.000412749,0.000412749,0.000412749
78,122.82,0.35456,0.3024,0.84969,0.99926,1,0.995,0.9552,0.29429,0.21229,0.80776,0.000396246,0.000396246,0.000396246
79,124.676,0.34063,0.28176,0.83393,0.99957,1,0.995,0.95384,0.29335,0.21223,0.80837,0.000379743,0.000379743,0.000379743
80,127.307,0.34473,0.2808,0.83986,0.99977,1,0.995,0.94994,0.30482,0.21443,0.81025,0.000363239,0.000363239,0.000363239
81,129.152,0.34834,0.2965,0.84356,0.99979,1,0.995,0.95234,0.30139,0.20534,0.80899,0.000346736,0.000346736,0.000346736
82,130.821,0.34391,0.28195,0.84673,0.99979,1,0.995,0.95727,0.28921,0.20273,0.80699,0.000330233,0.000330233,0.000330233
83,132.583,0.35047,0.29445,0.83549,0.99979,1,0.995,0.95578,0.29246,0.20336,0.8075,0.000313729,0.000313729,0.000313729
84,134.296,0.34272,0.28782,0.84779,0.99974,1,0.995,0.95661,0.29112,0.20903,0.80613,0.000297226,0.000297226,0.000297226
85,136.073,0.33546,0.28978,0.82938,0.99974,1,0.995,0.95203,0.29007,0.20362,0.80779,0.000280723,0.000280723,0.000280723
86,138.146,0.33491,0.27119,0.83571,0.99975,1,0.995,0.95833,0.28186,0.19905,0.80754,0.00026422,0.00026422,0.00026422
87,139.796,0.3321,0.27218,0.83384,0.99975,1,0.995,0.96077,0.27974,0.1983,0.80568,0.000247716,0.000247716,0.000247716
88,141.48,0.33079,0.27405,0.83944,0.99976,1,0.995,0.95879,0.28861,0.20229,0.8073,0.000231213,0.000231213,0.000231213
89,143.577,0.33537,0.27056,0.83655,0.99972,1,0.995,0.96373,0.27799,0.19519,0.80557,0.00021471,0.00021471,0.00021471
90,146.235,0.33759,0.27048,0.83109,0.99964,1,0.995,0.96023,0.27236,0.1932,0.80518,0.000198206,0.000198206,0.000198206
91,149.816,0.30832,0.26584,0.81912,0.99943,1,0.995,0.95344,0.28114,0.1989,0.80508,0.000181703,0.000181703,0.000181703
92,151.571,0.30489,0.25219,0.79506,0.99947,1,0.995,0.95571,0.28044,0.20264,0.80633,0.0001652,0.0001652,0.0001652
93,153.154,0.2881,0.25478,0.79636,0.9996,1,0.995,0.96194,0.27306,0.2001,0.80585,0.000148696,0.000148696,0.000148696
94,154.771,0.27832,0.23942,0.78709,0.99964,1,0.995,0.96257,0.26631,0.19478,0.80409,0.000132193,0.000132193,0.000132193
95,156.451,0.29499,0.25069,0.79105,0.99944,1,0.995,0.95819,0.27059,0.191,0.80319,0.00011569,0.00011569,0.00011569
96,158.193,0.27171,0.23257,0.78348,0.99945,1,0.995,0.95998,0.26779,0.18966,0.80226,9.91865e-05,9.91865e-05,9.91865e-05
97,159.941,0.27348,0.24607,0.78706,0.99936,1,0.995,0.96064,0.26649,0.18901,0.80217,8.26832e-05,8.26832e-05,8.26832e-05
98,161.6,0.26869,0.23961,0.79016,0.99948,1,0.995,0.96336,0.2645,0.18675,0.80213,6.61799e-05,6.61799e-05,6.61799e-05
99,163.241,0.26798,0.22455,0.78821,0.99954,1,0.995,0.96393,0.261,0.18414,0.80132,4.96766e-05,4.96766e-05,4.96766e-05
100,164.899,0.25408,0.22891,0.78279,0.99956,1,0.995,0.96479,0.25993,0.18326,0.80111,3.31733e-05,3.31733e-05,3.31733e-05
